1636070	659232
1888964	570743
887094	1260009
1082023	438311
975414	1596594
1211543	1853524
1159150	444644
1664706	260407
1751254	1048786
651448	1694715
844407	1618031
1757063	1853143
1711021	1328321
488550	1148319
1254025	620895
862156	999280
1280128	860306
1570024	276407
229501	761232
714718	1204915
467012	35447
1167625	1626162
480091	941517
1886570	340531
99488	647203
184502	1203944
739221	55678
1289043	1783201
456712	982341
1678934	341209
91234	1502387
178234	764120
1349876	421098
602341	1876543
1598320	239876
845210	998234
1734502	654321
234987	1456098
1092834	183209
765432	1209876
1876543	87654
345678	1567890
112233	998877
1678901	456789
908172	1345678
543210	987654
1298765	345210
1789012	678901
234561	1678902
890123	456123
1509876	321456
678234	1239876
456789	1782345
1234567	890123
1654321	234567
789012	1456789
234890	1675432
987123	654098
111222	333444
555666	777888
999000	123321
147258	369852
258369	147852
369147	258963
741852	963258
852963	741369
963741	852147
135790	246801
246801	135790
112358	1346269
223344	556677
778899	112233
445566	998877
667788	223344
889900	445566
